Date	Amount	Status	Merchant Id	Merchant Name	Merchant Wallet	Payee Id	Payee Name	Payee Wallet	Cashpoint Id	Cashpoint Name	Cashpoint Wallet	Collection Type	Invoice	Ref1	Ref2	Ref3
6/30/2021 9:12	25250	APPROVE	1996863090	Siddique Tailors And Garments	19968630901	1713911707	Siddique Tailors And Garments-Ma	17139117071	1918879235	Hena Enterprise	17111313051	Sales Collection	1234	1234	1234	1234
6/30/2021 9:07	11085	APPROVE	1815074518	Baro Awlia Hardware	18150745181	1824643694	Ayat Mobile World	18246436941	1816234542	Baro Awlia Hardware	18188020301	Due Bill	5544	6655	6644	3322
6/29/2021 22:35	6000	APPROVE	1919765735	Ali Enterprise	19197657351	1892425003	Ali Enterprise - Khulshi	18924250031	1815817758	Sheba Telecom	18552525111	Product Lifting	1234	1234	1234	1234
6/29/2021 21:15	12100	APPROVE	1815074518	Baro Awlia Hardware	18150745181	1824643694	Ayat Mobile World	18246436941	1816234542	Baro Awlia Hardware	18188020301	Due Bill	5544	7766	4433	6644
6/29/2021 19:56	20600	APPROVE	1728678366	M/S Bhai Bhai Business Center	17286783661	1819863126	M/S Bhai Bhai Business Center-Pi	18198631261	1711663313	MS Hasan Brothers Corporatoin	19183028581	Bill	1	Md	Sagor	Ansari
6/29/2021 17:45	5052	APPROVE	1819803021	Hosna Steel Plus	18198030211	1718373436	Hosna Steel Plus-Lal Dighir Par	17183734361	1765988787	M/S Tasnim Enterprise	18118227771	Due Bill	1	1	1	1
6/29/2021 16:01	15000	APPROVE	1306241547	Molla Agro  Poltri Firm And Fish Fid	13062415471	1311825532	Molla Agro Poltri Farm And Fish 	13118255321	1719715452	National Kidney Dialysis And Diagnostic Center	18105060401	Bill	1234	1234		
6/29/2021 15:23	20220	FAILED	1882007404	Mohammod Ali Store	18820074041	1714608831	Mohammod Ali Store-	17146088311	1718388618	Nill Doriya Electronics and Mobile Telecom	17205219571	Bill	1234	1234	1244	1234
6/29/2021 15:19	20220	FAILED	1882007404	Mohammod Ali Store	18820074041	1714608831	Mohammod Ali Store-	17146088311	1718388618	Nill Doriya Electronics and Mobile Telecom	17205219571	Bill	1234	1234	1244	1234
6/29/2021 15:08	20220	FAILED	1882007404	Mohammod Ali Store	18820074041	1714608831	Mohammod Ali Store-	17146088311	1718388618	Nill Doriya Electronics and Mobile Telecom	17205219571	Bill	1234	1234	2234	2244
6/29/2021 15:04	20220	FAILED	1882007404	Mohammod Ali Store	18820074041	1714608831	Mohammod Ali Store-	17146088311	1718388618	Nill Doriya Electronics and Mobile Telecom	17205219571	Bill	1234	1234	1234	2234
6/29/2021 14:51	20220	FAILED	1882007404	Mohammod Ali Store	18820074041	1714608831	Mohammod Ali Store-	17146088311	1718388618	Nill Doriya Electronics and Mobile Telecom	17205219571	Bill	1234	1234	1234	2234
6/29/2021 14:36	20220	FAILED	1882007404	Mohammod Ali Store	18820074041	1714608831	Mohammod Ali Store-	17146088311	1718388618	Nill Doriya Electronics and Mobile Telecom	17205219571	Bill	1234	1234	1234	1234
6/29/2021 14:35	20220	FAILED	1882007404	Mohammod Ali Store	18820074041	1714608831	Mohammod Ali Store-	17146088311	1718388618	Nill Doriya Electronics and Mobile Telecom	17205219571	Bill	1234	1234	1234	1234
6/29/2021 14:34	20220	FAILED	1882007404	Mohammod Ali Store	18820074041	1714608831	Mohammod Ali Store-	17146088311	1718388618	Nill Doriya Electronics and Mobile Telecom	17205219571	Bill	1234	1234	1234	1234
6/29/2021 14:33	20220	FAILED	1882007404	Mohammod Ali Store	18820074041	1714608831	Mohammod Ali Store-	17146088311	1718388618	Nill Doriya Electronics and Mobile Telecom	17205219571	Bill	1234	1234	1234	1234
6/29/2021 14:29	20220	FAILED	1882007404	Mohammod Ali Store	18820074041	1714608831	Mohammod Ali Store-	17146088311	1718388618	Nill Doriya Electronics and Mobile Telecom	17205219571	Bill	1234	1234	1234	1234
6/29/2021 14:29	20220	FAILED	1882007404	Mohammod Ali Store	18820074041	1714608831	Mohammod Ali Store-	17146088311	1718388618	Nill Doriya Electronics and Mobile Telecom	17205219571	Bill	1234	1234	1234	1234
6/29/2021 14:28	20220	APPROVE	1882007404	Mohammod Ali Store	18820074041	1714608831	Mohammod Ali Store-	17146088311	1718388618	Nill Doriya Electronics and Mobile Telecom	17205219571	Bill	1234	1234	1234	1234
6/29/2021 12:36	15155	APPROVE	1819803021	Hosna Steel Plus	18198030211	1718373436	Hosna Steel Plus-Lal Dighir Par	17183734361	1765988787	M/S Tasnim Enterprise	18118227771	Due Bill	1	1	1	1
6/29/2021 10:14	10102	APPROVE	1818675219	Grameen Solar & Electronics	18471756651	1876000496	"Grameen Solar & Electronics-Eidgha, Coxs Bazar"	18760004961	1765988787	M/S Tasnim Enterprise	18118227771	Due Bill	1	1	1	1
6/29/2021 8:25	50505	FAILED	1721344713	Sany Enterprise	19523720321	1314081935	Sany Enterprise-New Market Thana	13140819351	1676196019	M/S Samual Boi Ghor & Stationary	19100941291	Bill	29	123	123	Samiul boi ghor
